id,query
1,Suggest a quick vegan breakfast recipe
2,I have chicken and rice. what can I cook?
3,Give me a dessert recipe with chocolate
4,Recommend a healthy high-protein dinner as a post workout meal.
5,Just watched a korean drama and I'm so craving some yummy korean food.
6,My crush is coming over for dinner and I want to impress her.
7,I just moved out to my own place and want to host a housewarming lunch.
8,Something healthy I can cook in the morning before work.
9,Any delicious dish I can mealprep on Sunday for the week?
10,I'm feeling creative. Surprise me!
